time,id,temp,bat,id,temp,bat,id,temp,bat,id,temp,bat,id,temp,bat
0,35,21.8,1.488,19,22.5,1.421,12,23.2,1.33,41,22.4,1.31,10,18.8,1.273
30,35,23.3,1.493,19,20.9,1.451,12,22.8,1.248,41,22.6,1.306,10,19.9,1.301
60,35,21.2,1.492,19,19.6,1.402,12,23.3,1.313,41,20.8,1.303,10,20.1,1.285
90,35,21,1.488,19,20.2,1.451,12,23.3,1.347,41,21,1.313,10,19.4,1.293
120,35,21.7,1.493,19,19.9,1.457,12,23.4,1.343,41,21.4,1.316,10,18.7,1.288
150,35,20.6,1.454,19,19.6,1.469,12,23.5,1.326,41,22,1.316,10,18.8,1.305
180,35,20,1.488,19,21,1.457,12,23.3,1.347,41,22.6,1.313,10,18.5,1.292
210,35,21.6,1.448,19,23.5,1.48,12,23.5,1.347,41,22.6,1.296,10,19,1.307
240,35,22,1.347,19,24.1,1.48,12,21.9,1.337,41,21.8,1.303,10,19.3,1.288
270,35,20,1.347,19,24.1,1.457,12,22.8,1.343,41,21.2,1.316,10,19.1,1.485
300,35,20.7,1.489,19,19.9,1.263,12,21.6,1.296,41,21,1.487,10,19.3,1.473
330,35,20,1.492,19,20.2,1.282,12,22.1,1.316,41,18.6,1.451,10,19.1,1.292
360,35,19.3,1.313,19,19.9,1.483,12,22.5,1.35,41,19.1,1.303,10,19.2,1.285
390,35,20.3,1.486,19,21.2,1.48,12,21.9,1.248,41,18.8,1.313,10,19.1,1.288
420,35,21.9,1.492,19,20.2,1.451,12,22.3,1.489,41,21,1.303,10,18.8,1.393
450,35,20.9,1.485,19,19.6,1.343,12,22.6,1.333,41,19.1,1.238,10,19.3,1.289
480,35,21.7,1.316,19,20.6,1.487,12,22.6,1.347,41,21,1.271,10,19.5,1.295
510,35,20.4,1.316,19,20.6,1.471,12,22.7,1.344,41,20.8,1.313,10,18.3,1.295
540,35,21.2,1.347,19,22.1,1.459,12,23.1,1.351,41,22,1.31,10,19.8,1.282
570,35,21.9,1.285,19,20,1.451,12,22.1,1.346,41,19.8,1.303,10,19.3,1.288
600,35,21.1,1.474,19,20.6,1.48,12,22.6,1.287,41,18.6,1.313,10,18.1,1.288
630,35,21.2,1.472,19,22.5,1.487,12,21.6,1.351,41,18.8,1.309,10,19.1,1.257
660,,,,19,20.2,1.476,12,22.1,1.347,41,21.2,1.316,10,18.3,1.311
690,,,,19,23.9,1.487,12,23.1,1.351,41,21,1.271,10,18.5,1.485
720,,,,19,20.2,1.395,12,24,1.48,41,18.9,1.277,10,18.1,1.485
750,,,,19,20.6,1.285,12,22.8,1.468,41,20.8,1.343,10,19.1,1.486
780,,,,19,20.2,1.285,12,22.7,1.404,41,19.1,1.347,10,19.3,1.445
810,,,,19,19.8,1.244,12,22.5,1.285,41,19.1,1.347,10,19.1,1.451
840,,,,19,22.3,1.486,12,22.3,1.285,41,18.6,1.483,10,18.1,1.451
870,,,,19,23.5,1.313,12,21.9,1.492,41,21,1.486,10,19.1,1.463
900,,,,19,23.5,1.313,12,22.8,1.288,41,21,1.343,10,19.1,1.487
930,,,,19,21.9,1.306,12,22.3,1.313,41,21,1.343,10,19.5,1.444
960,,,,19,21,1.328,12,22.2,1.313,41,18.9,1.289,10,18.8,1.487
990,,,,19,22.5,1.311,12,22.6,1.313,41,19.8,1.285,10,19.3,1.392
1020,,,,19,22.5,1.265,12,22.8,1.312,41,21,1.247,10,19.5,1.389
1050,,,,19,21.2,1.343,12,23.1,1.316,41,22,1.248,10,18.3,1.489
1080,,,,19,20.6,1.351,12,22.5,1.313,41,18.9,1.292,10,19.5,1.461
1110,,,,19,20.2,1.259,12,22.2,1.303,41,21,1.289,,,
1140,,,,19,20.6,1.337,,,,41,18.8,1.289,,,
1170,,,,19,21,1.347,,,,,,,,,
